Year,EMA,Probability of Positive Day if Above,Probability of Negative Day if Below
1995,EMA_5,0.72,0.76
1995,EMA_9,0.65,0.71
1995,EMA_18,0.61,0.72
1995,EMA_21,0.6,0.83
1995,EMA_40,0.58,0.5
1995,EMA_50,0.58,0.0
1995,EMA_100,0.58,0.0
1996,EMA_5,0.69,0.77
1996,EMA_9,0.66,0.73
1996,EMA_18,0.59,0.63
1996,EMA_21,0.58,0.6
1996,EMA_40,0.56,0.63
1996,EMA_50,0.55,0.59
1996,EMA_100,0.53,0.47
1997,EMA_5,0.73,0.73
1997,EMA_9,0.67,0.69
1997,EMA_18,0.62,0.63
1997,EMA_21,0.61,0.61
1997,EMA_40,0.59,0.6
1997,EMA_50,0.58,0.61
1997,EMA_100,0.55,0.56
1998,EMA_5,0.68,0.79
1998,EMA_9,0.64,0.73
1998,EMA_18,0.59,0.66
1998,EMA_21,0.58,0.63
1998,EMA_40,0.56,0.61
1998,EMA_50,0.56,0.61
1998,EMA_100,0.54,0.59
1999,EMA_5,0.73,0.79
1999,EMA_9,0.67,0.73
1999,EMA_18,0.63,0.7
1999,EMA_21,0.62,0.7
1999,EMA_40,0.57,0.65
1999,EMA_50,0.56,0.64
1999,EMA_100,0.54,0.68
2000,EMA_5,0.75,0.79
2000,EMA_9,0.68,0.69
2000,EMA_18,0.62,0.63
2000,EMA_21,0.61,0.62
2000,EMA_40,0.55,0.57
2000,EMA_50,0.56,0.58
2000,EMA_100,0.53,0.57
2001,EMA_5,0.74,0.71
2001,EMA_9,0.67,0.66
2001,EMA_18,0.63,0.6
2001,EMA_21,0.63,0.59
2001,EMA_40,0.58,0.54
2001,EMA_50,0.57,0.53
2001,EMA_100,0.59,0.52
2002,EMA_5,0.73,0.71
2002,EMA_9,0.68,0.66
2002,EMA_18,0.61,0.6
2002,EMA_21,0.6,0.6
2002,EMA_40,0.57,0.58
2002,EMA_50,0.57,0.58
2002,EMA_100,0.54,0.54
2003,EMA_5,0.76,0.74
2003,EMA_9,0.71,0.7
2003,EMA_18,0.63,0.62
2003,EMA_21,0.63,0.62
2003,EMA_40,0.59,0.55
2003,EMA_50,0.59,0.59
2003,EMA_100,0.58,0.54
2004,EMA_5,0.79,0.75
2004,EMA_9,0.7,0.66
2004,EMA_18,0.64,0.58
2004,EMA_21,0.63,0.56
2004,EMA_40,0.61,0.53
2004,EMA_50,0.61,0.53
2004,EMA_100,0.59,0.53
2005,EMA_5,0.78,0.73
2005,EMA_9,0.71,0.65
2005,EMA_18,0.67,0.62
2005,EMA_21,0.66,0.62
2005,EMA_40,0.62,0.58
2005,EMA_50,0.58,0.53
2005,EMA_100,0.56,0.54
2006,EMA_5,0.75,0.77
2006,EMA_9,0.7,0.74
2006,EMA_18,0.64,0.66
2006,EMA_21,0.63,0.66
2006,EMA_40,0.61,0.65
2006,EMA_50,0.61,0.67
2006,EMA_100,0.59,0.65
2007,EMA_5,0.72,0.7
