Day,EMA_5,EMA_9,EMA_18,EMA_21,EMA_40,EMA_50,EMA_100
1,0.56,0.55,0.55,0.55,0.55,0.55,0.55
2,0.61,0.6,0.59,0.58,0.58,0.58,0.57
3,0.68,0.65,0.62,0.61,0.6,0.6,0.59
4,0.72,0.68,0.64,0.63,0.61,0.61,0.6
5,0.77,0.72,0.66,0.65,0.62,0.62,0.61
6,0.8,0.76,0.69,0.67,0.64,0.63,0.61
7,0.83,0.79,0.71,0.7,0.66,0.65,0.63
8,0.86,0.82,0.75,0.73,0.69,0.67,0.64
9,0.88,0.84,0.77,0.75,0.7,0.68,0.65
10,0.89,0.86,0.79,0.78,0.71,0.69,0.66
11,0.91,0.87,0.81,0.79,0.73,0.71,0.67
12,0.93,0.89,0.82,0.81,0.74,0.72,0.67
13,0.94,0.89,0.84,0.82,0.75,0.73,0.68
14,0.97,0.91,0.86,0.84,0.77,0.75,0.69
