Date,Open,High,Low,Close,Adj Close,Volume,Stock,ATR_14,EMA_5,Distance_to_EMA_5,EMA_9,Distance_to_EMA_9,EMA_18,Distance_to_EMA_18,EMA_21,Distance_to_EMA_21,EMA_40,Distance_to_EMA_40,EMA_50,Distance_to_EMA_50,EMA_100,Distance_to_EMA_100,Volume_20D_MA,Above_EMA_5,Streak_Above_5,Streak_Below_5,Above_EMA_9,Streak_Above_9,Streak_Below_9,Above_EMA_18,Streak_Above_18,Streak_Below_18,Above_EMA_21,Streak_Above_21,Streak_Below_21,Above_EMA_40,Streak_Above_40,Streak_Below_40,Above_EMA_50,Streak_Above_50,Streak_Below_50,Above_EMA_100,Streak_Above_100,Streak_Below_100,Year,Smooth_Distance_to_EMA_5,Smooth_Distance_to_EMA_9,Smooth_Distance_to_EMA_18,Smooth_Distance_to_EMA_21,Smooth_Distance_to_EMA_40,Smooth_Distance_to_EMA_50,Smooth_Distance_to_EMA_100,EMA5_Rolling_Mean,EMA5_Rolling_Std,Spike,Days_Between_Spikes,Next_Week_Perf,Two_Weeks_Perf,Next_Month_Perf,Three_Months_Perf,Volume_20D_MA_Spike,Volume_Above_20D_MA,Next_Week_Perf_ATR,Next_Week_Perf_Volume_20D_MA,Two_Weeks_Perf_ATR,Two_Weeks_Perf_Volume_20D_MA,Next_Month_Perf_ATR,Next_Month_Perf_Volume_20D_MA,Three_Months_Perf_ATR,Three_Months_Perf_Volume_20D_MA
1993-04-02,44.65625,44.65625,44.09375,44.09375,24.812774658203125,59400,SPY,0.36160714285714285,44.758029086852694,0.6642790868526944,44.88367764039893,0.789927640398929,44.93294243328109,0.8391924332810916,44.92077717298841,0.8270271729884087,44.77472576043643,0.6809757604364322,44.69816253150277,0.6044125315027671,44.44259646942609,0.34884646942609265,127480.0,False,0,2,False,0,2,False,0,2,False,0,1,False,0,1,False,0,1,False,0,1,1993,,,,,,,,0.18722249355283616,0.1878135782706414,True,,1.8426647767540751,1.48830616583983,0.8504606661941885,1.3465627214741318,127480.0,No,0.36830357142857145,128919.0,0.37202380952380953,121230.0,0.3735491071428572,124199.75,0.35487471198156684,111050.64516129032
1994-01-10,47.09375,47.59375,46.96875,47.59375,27.32598114013672,593700,SPY,0.27455357142857145,47.079676369995646,0.5140736300043542,46.94877541890325,0.6449745810967471,46.83252458981782,0.7612254101821776,46.80727629007121,0.7864737099287922,46.68468719273491,0.9090628072650873,46.62561976482808,0.9681302351719197,46.316684345991746,1.2770656540082541,366635.0,True,4,0,True,4,0,True,4,0,True,4,0,True,5,0,True,5,0,True,77,0,1994,0.1377238091046395,0.17287356842188292,0.21390317360101704,0.223943652211275,0.2931888200438809,0.34285018461695027,0.6559316792075547,0.13133982619174098,0.11610328795522877,True,283.0,-0.3939592908732764,-0.8535784635587657,-0.7879185817465528,-5.712409717662508,366635.0,Yes,0.27767857142857144,374834.0,0.27254464285714286,375885.0,0.2806412337662338,342484.7727272727,0.3832908163265306,498848.5714285714
1994-02-04,48.0625,48.125,46.96875,46.96875,26.967138290405273,1403200,SPY,0.34598214285714285,47.66876211025022,0.7000121102502206,47.68414689719539,0.7153968971953901,47.54572576471991,0.5769757647199114,47.49683110530455,0.5280811053045511,47.241291664785415,0.27254166478541464,47.1352018786742,0.1664518786742022,46.710909541513416,0.25784045848658366,325250.0,False,0,1,False,0,1,False,0,1,False,0,1,False,0,1,False,0,1,True,96,0,1994,0.13399738807071884,0.17841992140567178,0.2333165541661047,0.24837599487640236,0.3304313270011858,0.3794427702207642,0.6980063708695191,0.18440710806862165,0.18741572287755692,True,25.0,0.39920159680638717,-0.19960079840319359,-0.4657351962741184,-5.555555555555555,325250.0,Yes,0.3709821428571428,325068.0,0.39107142857142857,404538.5,0.40758928571428577,481433.5,0.4678534836065573,590977.2950819673
1994-03-24,46.75,46.84375,46.15625,46.375,26.779827117919922,1200500,SPY,0.3705357142857143,46.76467418878846,0.3896741887884616,46.836834089084604,0.4618340890846042,46.89360954922341,0.5186095492234131,46.910570841315135,0.5355708413151348,46.97721658934,0.6022165893400029,46.9799632412086,0.6049632412086012,46.82349178633746,0.44849178633746334,605030.0,False,0,5,False,0,2,False,0,2,False,0,2,False,0,5,False,0,5,False,0,1,1994,0.14956202735883722,0.20683511864570073,0.27044267715807796,0.2870850064455711,0.35320279972242596,0.3806293881051138,0.5611275586967874,0.11677050305008727,0.09522470652101667,True,48.0,-3.840970350404313,-3.638814016172507,-2.257412398921833,-4.986522911051213,605030.0,Yes,0.4133928571428571,615060.0,0.49007936507936517,680132.7777777778,0.5722789115646258,698040.0,0.45383855386416866,505446.0655737705
1994-03-25,46.40625,46.53125,45.9375,45.9375,26.52718162536621,100900,SPY,0.390625,46.48894945919231,0.5514494591923125,46.65696727126768,0.719467271267682,46.79296643877884,0.8554664387788407,46.82210985574103,0.8846098557410329,46.926498706933174,0.9889987069331738,46.93908232978866,1.0015823297886612,46.8059473945288,0.8684473945288005,583510.0,False,0,6,False,0,3,False,0,3,False,0,3,False,0,6,False,0,6,False,0,2,1994,0.1548501980570841,0.2138039645870572,0.27855541234825637,0.29540796673599007,0.3617252836884294,0.3885033123513879,0.5620641246525344,0.13781318576943172,0.13614734973008394,True,1.0,-4.421768707482993,-2.312925170068027,-1.4285714285714286,-2.414965986394558,583510.0,No,0.440625,628826.0,0.5213293650793651,690407.7777777778,0.5823660714285714,702690.5,0.4534177400468384,498944.75409836066
1994-03-29,46.0,46.03125,45.09375,45.09375,26.03995132446289,338400,SPY,0.4419642857142857,45.91522753741881,0.8214775374188079,46.23920905361132,1.1454590536113187,46.53941773076755,1.4456677307675534,46.59704326920746,1.503293269207461,46.79410590912871,1.7003559091287102,46.831333784629976,1.737583784629976,46.75639916809889,1.6626491680988877,618460.0,False,0,8,False,0,5,False,0,5,False,0,5,False,0,8,False,0,8,False,0,4,1994,0.16822153410628263,0.23256926147276935,0.3018626219508822,0.31952744261717103,0.387566956713345,0.4134385427867199,0.5741405218050056,0.181680055457592,0.20671327995244532,True,4.0,-0.6237006237006237,-1.1434511434511436,0.0,-0.7623007623007623,618460.0,No,0.4977678571428571,678333.75,0.5793650793650794,709698.3333333334,0.5891741071428571,708730.5,0.452393149882904,486294.0983606557
1994-03-30,45.125,45.25,44.46875,44.46875,25.679031372070312,1123900,SPY,0.45982142857142855,45.43306835827921,0.9643183582792076,45.88511724288905,1.4163672428890521,46.32145270647624,1.8527027064762365,46.40356206291587,1.9348120629158672,46.680673913561456,2.2119239135614563,46.738683440134686,2.269933440134686,46.71109918457218,2.242349184572177,645580.0,False,0,9,False,0,6,False,0,6,False,0,6,False,0,9,False,0,9,False,0,5,1994,0.18257071300996314,0.25502619948363275,0.3297465241887689,0.34834986397712686,0.4189485642639958,0.44480796859232097,0.6001022907543662,0.22587788737443476,0.2690202069375961,True,1.0,1.264933239634575,0.28109627547434995,2.037947997189037,0.0,645580.0,Yes,0.5446428571428571,725567.5,0.6036706349206349,722508.8888888889,0.5894531249999999,709957.0,0.45230166861826704,479882.2131147541
1994-06-20,45.546875,45.625,45.4375,45.484375,26.439163208007812,137400,SPY,0.3236607142857143,45.94526088215993,0.46088588215992843,46.018568185438426,0.5341931854384256,45.9341918368428,0.4498168368427997,45.89147749980021,0.4071024998002102,45.73171650604325,0.24734150604324867,45.72265888257909,0.23828388257908983,45.85950679524254,0.37513179524253815,228110.0,False,0,2,False,0,2,False,0,2,False,0,2,False,0,1,False,0,1,False,0,1,1994,0.2155979186165902,0.34035934477734,0.5189602179864908,0.5632480354048306,0.7547561916456061,0.8155127552388794,0.9072298529536407,0.1563681057642917,0.1070912348929443,True,82.0,-1.4428031604259703,-1.511508072827207,-0.6870491240123668,3.4695980762624528,228110.0,No,0.34665178571428573,218607.0,0.40424107142857146,330537.0,0.4280931122448979,429751.1904761905,0.34580498866213144,376501.6666666667
1994-06-21,45.453125,45.453125,44.90625,45.09375,26.21210289001465,139200,SPY,0.3325892857142857,45.661423921439955,0.5676739214399547,45.83360454835075,0.739854548350749,45.84572427506987,0.7519742750698697,45.81895681800019,0.7252068180001885,45.700596188675284,0.6068461886752843,45.69799578914461,0.6042457891446134,45.84434329434665,0.7505932943466505,221935.0,False,0,3,False,0,3,False,0,3,False,0,3,False,0,2,False,0,2,False,0,2,1994,0.22258241916069973,0.3503721002234891,0.5291270832364265,0.5728093374399059,0.7616875031053104,0.8224813538140485,0.91888828251147,0.18051090632977385,0.1396042651960192,True,1.0,-1.074151074151074,-0.796950796950797,0.38115038115038113,2.390852390852391,221935.0,No,0.36919642857142854,218452.0,0.4131944444444444,341917.77777777775,0.4283056972789116,445380.71428571426,0.34616215437788017,378895.0806451613
1994-06-24,44.78125,44.78125,44.0,44.0625,25.612655639648438,353800,SPY,0.39174107142857145,44.92282931005629,0.8603293100562865,45.27330552875559,1.2108055287555928,45.52947945960319,1.4669794596031878,45.55002390533448,1.487523905334477,45.56898219071152,1.5064821907115231,45.59190780956853,1.5294078095685322,45.781660272494406,1.7191602724944062,216875.0,False,0,6,False,0,6,False,0,6,False,0,6,False,0,5,False,0,5,False,0,5,1994,0.23946713068486108,0.37817861041610823,0.5630990798497524,0.6065422116920749,0.7910634856688358,0.8524557978768257,0.9571589506263658,0.22722114416267622,0.20830052222772036,True,3.0,1.1347517730496455,1.5602836879432624,2.9432624113475176,4.184397163120567,216875.0,Yes,0.44174107142857144,386306.0,0.4654017857142857,436257.22222222225,0.42885044642857145,487985.0,0.34994239631336405,382825.48387096776
